merchant_id,name,category,city,state,zip_code,lat,lon
101,Starbucks,coffee,New York,NY,10001,40.7484,-73.9857
102,Best Buy,electronics,Los Angeles,CA,90012,34.0522,-118.2437
103,The Capital Grille,dining,Chicago,IL,60601,41.8781,-87.6298
104,McDonald's,fast food,Houston,TX,77002,29.7604,-95.3698
105,Sephora,beauty,Miami,FL,33131,25.7617,-80.1918
106,Barnes & Noble,books,Seattle,WA,98101,47.6062,-122.3321
107,Planet Fitness,fitness,Denver,CO,80202,39.7392,-104.9903
108,Ruth's Chris Steak House,dining,Boston,MA,02108,42.3601,-71.0589
109,Food Truck Collective,food trucks,Portland,OR,97201,45.5152,-122.6784
110,Whole Foods Market,organic,Phoenix,AZ,85001,33.4484,-112.0740
111,LA Fitness,fitness,Dallas,TX,75201,32.7767,-96.7970
112,GameStop,gaming,Atlanta,GA,30303,33.7490,-84.3880
113,Delta Air Lines,travel,New York,NY,10001,40.7484,-73.9857
114,Brooklyn Brewery,craft beer,Brooklyn,NY,11201,40.6782,-73.9442
115,CorePower Yoga,yoga,San Francisco,CA,94102,37.7749,-122.4194
116,The Cheesecake Factory,dining,Las Vegas,NV,89101,36.1699,-115.1398
117,Six Flags,theme parks,Los Angeles,CA,90012,34.0522,-118.2437
118,Smithsonian Museum,history,Washington,DC,20004,38.9072,-77.0369
119,Broadway Shows,shows,New York,NY,10036,40.7580,-73.9855
120,Home Depot,home,Charlotte,NC,28202,35.2271,-80.8431
121,The Fillmore,music,Detroit,MI,48201,42.3314,-83.0458
122,Tesla,cars,Austin,TX,78701,30.2672,-97.7431
123,REI,outdoor,Minneapolis,MN,55401,44.9778,-93.2650
124,Dick's Sporting Goods,sports,Philadelphia,PA,19102,39.9526,-75.1652
125,Tex-Mex Cantina,tex-mex,San Antonio,TX,78205,29.4241,-98.4936
126,Art Institute of Chicago,art,Chicago,IL,60603,41.8796,-87.6237
127,Blue Note Jazz Club,blues,New Orleans,LA,70112,29.9511,-90.0715
128,Preservation Hall,jazz,New Orleans,LA,70116,29.9580,-90.0651
129,Malibu Beach Inn,beach,Malibu,CA,90265,34.0259,-118.7798
130,Surf Lodge,surf,Montauk,NY,11954,41.0359,-71.9543
131,Chili's,chile,Albuquerque,NM,87102,35.0844,-106.6504
132,Texas Roadhouse,bbq,Kansas City,MO,64108,39.0997,-94.5786
133,The Capital Grille,steak,Washington,DC,20004,38.9072,-77.0369
134,Bourbon Street Bar,bourbon,Louisville,KY,40202,38.2527,-85.7585
135,Chipotle,mexican,Denver,CO,80202,39.7392,-104.9903
136,Heineken Brewery,beer,New York,NY,10001,40.7484,-73.9857
137,Farmers Market,farm,Portland,OR,97201,45.5152,-122.6784
138,Farm-to-Table Bistro,farm-to-table,Asheville,NC,28801,35.5951,-82.5515
139,Death Valley Resort,desert,Las Vegas,NV,89101,36.1699,-115.1398
140,The Met,art,New York,NY,10028,40.7794,-73.9632
141,Charles Schwab,finance,New York,NY,10001,40.7484,-73.9857
142,BlackRock,wealth,San Francisco,CA,94102,37.7749,-122.4194
143,Allstate,insurance,Chicago,IL,60601,41.8781,-87.6298
144,Harvard University,ivy,Cambridge,MA,02138,42.3736,-71.1097
145,Lowcountry Kitchen,lowcountry,Charleston,SC,29401,32.7765,-79.9311
146,MoMA,art,New York,NY,10019,40.7614,-73.9776
147,Street Art Gallery,art,New York,NY,10001,40.7484,-73.9857
148,Rock Climbing Gym,climbing,Boulder,CO,80301,40.0150,-105.2705
149,Winery Tours,wine,Napa,CA,94558,38.2975,-122.2869
150,Grand Bazaar,bazaar,New York,NY,10001,40.7484,-73.9857
